line_item_id,order_id,completed_at,user_id,quantity,price,style_id,order_channel,order_channel_category
14134747,2874138,2016-12-29 14:54:22,1444626,1,25.00,447,other,paid
17240079,3506498,2017-09-05 19:00:51,1125825,1,68.00,944,search,paid
20017564,4020991,2017-12-27 17:41:00,2521400,1,88.00,890,search,paid
19281489,3858476,2017-12-01 18:53:11,2222476,1,62.00,640,other,paid
15018380,3047663,2017-03-26 15:38:13,1854949,1,100.00,650,affiliate,paid
18440991,3704993,2017-10-29 06:12:47,1531461,1,88.00,564,social,paid
18063633,3641317,2017-10-11 05:17:58,1937006,1,50.00,942,search,paid
17027958,3486240,2017-08-28 14:59:51,1470648,1,40.00,752,other,paid
15886132,3241817,2017-05-26 17:33:04,1576624,1,60.00,538,other,paid
12912030,2563686,2016-10-10 00:34:32,1333122,1,100.00,642,affiliate,paid
16259834,3320840,2017-06-28 06:25:32,2050503,2,58.00,527,affiliate,paid
19862009,3994772,2017-12-26 00:52:12,1818633,1,53.00,1009,search,paid
12948287,2569288,2016-10-12 15:49:18,954712,1,58.00,588,affiliate,paid
16423408,3361326,2017-07-10 18:15:51,2009413,1,21.00,544,search,paid
19386942,3874943,2017-12-04 18:53:31,1346696,1,68.00,910,display,paid
16951989,3463276,2017-08-20 00:39:53,2066192,1,20.00,568,search,paid
16748475,3428004,2017-08-06 18:18:02,2140966,1,69.00,515,social,paid
19901665,4000170,2017-12-26 07:21:53,1411834,1,70.00,642,social,paid
18555196,3725423,2017-11-03 18:42:48,2400178,1,100.00,648,search,paid
13609163,2687554,2016-12-02 11:11:05,1517239,1,68.00,565,other,paid
17995162,3629744,2017-10-08 19:54:59,2342890,1,145.00,758,social,paid
19953291,4028413,2017-12-29 06:08:36,665747,1,60.00,805,social,paid
13031174,2581536,2016-10-20 00:34:07,1539227,1,100.00,642,affiliate,paid
18678854,3746832,2017-11-09 06:19:51,2288142,1,100.00,642,search,paid
13934221,2812522,2016-12-18 12:10:06,1644980,1,65.00,437,other,paid
18053103,3639641,2017-10-10 15:11:23,1033906,1,32.00,735,search,paid
17163201,3495345,2017-08-31 18:50:02,2215289,1,168.00,563,affiliate,paid
10929616,2277868,2016-04-11 10:37:05,1376360,1,20.00,441,social,paid
13081321,2588942,2016-10-24 13:43:22,720380,1,100.00,642,social,paid
14599945,2973712,2017-02-15 06:11:10,1769008,1,68.00,715,affiliate,paid
19233843,3844581,2017-11-28 15:22:47,1717464,1,18.00,764,search,paid
12788434,2545049,2016-09-29 16:20:46,1507261,1,175.00,563,search,paid
14212625,2891775,2017-01-07 06:05:46,1678662,1,78.00,503,search,paid
19633378,3937828,2017-12-14 14:34:45,1523395,1,98.00,995,other,paid
19846442,3993506,2017-12-25 23:01:59,1671627,1,81.00,1020,affiliate,paid
18808240,3769412,2017-11-13 17:16:03,2202483,1,125.00,761,search,paid
16979308,3467536,2017-08-22 03:27:42,1576624,1,22.00,771,other,paid
14687198,2989227,2017-02-24 11:59:12,1732638,1,68.00,715,other,paid
18844212,3779874,2017-11-16 06:50:17,2459060,1,115.00,458,other,paid
