user_id,discovery_channel_category,discovery_channel,discovery_time,discovery_platform,location,gender
1957598,paid,other,2017-05-10 07:23:23,desktop,US,female
1771115,paid,affiliate,2017-02-15 16:33:02,mobile,US,female
1489936,direct,,2016-09-13 16:07:53,desktop,US,female
2356025,paid,search,2017-10-12 17:13:53,desktop,US,female
1463297,organic search,,2016-08-17 07:06:25,desktop,international,female
1386243,paid,other,2016-04-24 11:17:03,desktop,US,female
1850834,direct,,2017-11-28 23:25:39,desktop,US,female
614038,email,,2017-12-03 08:08:23,desktop,US,male
1365757,organic search,,2016-03-11 09:08:09,desktop,US,female
2509102,direct,,2017-11-26 09:53:11,mobile,US,female
2660368,paid,search,2017-12-11 21:00:23,desktop,US,male
2642595,other,,2017-12-26 07:42:36,desktop,US,female
2240914,paid,search,2017-09-09 12:01:32,desktop,international,male
2266695,direct,,2017-09-17 00:42:07,mobile,international,male
1885559,email,,2017-11-30 12:48:07,mobile,US,female
2457263,paid,display,2017-11-14 17:03:01,mobile,US,female
1714868,direct,,2017-01-21 21:27:26,desktop,international,male
1583188,email,,2017-01-18 09:55:16,desktop,US,female
1907453,other,,2017-04-17 06:38:16,desktop,US,female
1547539,organic search,,2016-09-12 06:39:30,mobile,US,female
2413333,direct,,2017-11-02 11:55:40,desktop,US,female
2397336,paid,display,2017-10-27 09:45:23,desktop,US,female
1728373,direct,,2016-12-29 11:07:48,desktop,US,female
2191452,direct,,2017-08-24 06:43:05,mobile,US,female
2274387,paid,display,2017-09-19 17:31:18,desktop,US,
1868815,paid,other,2017-04-02 13:44:52,desktop,US,
1496923,paid,other,2016-09-20 11:36:29,desktop,US,male
2112635,paid,search,2017-07-26 08:49:55,desktop,US,female
2408284,paid,display,2017-10-31 17:25:25,desktop,US,female
1084629,direct,,2016-12-20 10:58:49,desktop,US,female
1691022,paid,social,2017-01-13 10:02:32,desktop,US,female
1769927,organic search,,2017-02-15 06:27:27,mobile,US,female
2278691,email,,2017-11-26 10:13:30,mobile,international,
2090075,organic search,,2017-07-17 11:28:48,mobile,international,female
1672110,other,,2017-01-03 01:44:25,desktop,international,female
1472528,paid,affiliate,2016-08-23 00:17:32,mobile,international,
1605081,organic search,,2016-11-28 16:46:37,desktop,international,female
2501861,direct,,2017-11-24 17:38:08,desktop,US,male
1622580,organic search,,2016-12-07 23:59:51,desktop,US,female
1854363,organic search,,2017-03-26 11:10:35,mobile,US,female
2006793,paid,social,2017-07-04 12:58:57,desktop,US,female
1800631,paid,social,2017-02-28 21:07:12,desktop,US,female
1921008,organic search,,2017-04-23 01:16:17,mobile,US,female
2352585,paid,search,2017-12-23 02:36:29,mobile,international,female
869429,paid,social,2017-01-26 08:51:27,desktop,US,female
2381734,paid,other,2017-10-21 23:05:54,desktop,international,female
2601610,direct,,2017-12-15 07:23:03,mobile,US,male
2587036,paid,search,2017-12-11 16:53:44,mobile,US,female
2344687,direct,,2017-10-09 08:58:36,desktop,US,female
2253611,email,,2017-09-12 12:18:24,desktop,US,female
2333228,paid,affiliate,2017-10-05 20:46:24,mobile,US,female
2168679,paid,social,2017-08-16 09:43:28,mobile,US,female
769281,email,,2017-01-26 15:03:54,desktop,US,female
1747151,paid,display,2017-01-19 11:37:26,desktop,US,female
1433059,organic search,,2017-12-01 06:16:54,desktop,international,female
1509874,organic search,,2016-09-30 18:35:04,mobile,international,
2533832,paid,affiliate,2017-12-01 16:52:08,mobile,US,female
1635488,direct,,2016-12-13 19:28:12,desktop,US,female
1696650,direct,,2017-01-15 09:28:46,mobile,US,female
1501188,email,,2016-11-07 06:58:41,mobile,US,female
1656534,paid,affiliate,2016-12-26 08:59:22,mobile,international,female
1485097,paid,affiliate,2016-09-08 22:43:27,mobile,US,female
2497240,other,,2017-11-23 17:53:13,desktop,international,female
1884435,organic search,,2017-04-02 01:55:20,mobile,international,
1619624,email,,2016-11-07 09:36:33,desktop,US,female
630505,paid,search,2017-11-19 11:31:03,desktop,US,female
2437248,email,,2017-11-28 10:49:02,mobile,international,male
1812540,paid,display,2017-03-06 15:26:43,mobile,US,female
2020726,organic search,,2017-06-12 11:45:51,desktop,US,female
1472204,organic search,,2016-08-28 17:22:27,desktop,US,female
2089526,paid,social,2017-07-17 07:23:22,mobile,US,
2030350,other,,2017-06-18 14:14:16,mobile,international,female
1614854,paid,search,2016-12-04 01:49:53,mobile,US,male
1524718,paid,affiliate,2016-10-11 07:56:29,mobile,international,female
1368276,paid,affiliate,2016-04-01 09:46:12,desktop,US,female
1670678,direct,,2016-11-25 22:39:07,mobile,US,male
1895725,paid,affiliate,2017-04-13 12:01:29,desktop,US,female
2085240,direct,,2017-06-10 18:33:30,desktop,US,female
2353451,organic search,,2017-10-11 19:28:46,desktop,international,female
1698173,paid,affiliate,2017-01-15 18:23:44,desktop,US,male
2105395,paid,display,2017-07-23 14:58:51,mobile,US,female
1482750,organic search,,2016-05-10 19:59:36,mobile,US,female
2080032,paid,affiliate,2017-07-12 17:42:32,mobile,US,male
2399505,paid,affiliate,2017-10-28 10:23:35,mobile,US,
2553059,other,,2017-12-05 05:42:21,desktop,US,female
2475631,paid,affiliate,2017-11-18 18:07:21,mobile,international,female
2191064,email,,2017-12-03 14:24:17,mobile,US,female
2158681,organic search,,2017-08-13 07:33:08,mobile,US,
1936044,paid,affiliate,2017-04-30 13:11:17,desktop,US,female
2637565,direct,,2017-12-25 13:49:10,mobile,US,
2515137,direct,,2017-11-27 12:15:05,desktop,US,female
1321785,organic search,,2016-02-02 18:44:24,desktop,international,female
2330159,organic search,,2017-10-04 22:09:28,desktop,international,female
250900,direct,,2017-11-23 23:18:18,desktop,US,male
1945969,organic search,,2017-05-04 08:44:14,mobile,international,female
1449157,direct,,2016-08-01 07:08:08,desktop,US,male
1308550,other,,2016-01-12 01:06:51,mobile,US,male
1752096,paid,display,2017-02-07 12:45:04,desktop,US,male
1176370,organic search,,2017-12-25 12:15:44,desktop,US,male
1519434,organic search,,2016-10-07 16:36:00,mobile,US,female
2643922,direct,,2017-12-26 09:48:44,desktop,US,female
2029442,organic search,,2016-08-07 15:17:55,mobile,US,male
1363816,other,,2016-03-27 12:13:56,desktop,US,female
1801079,other,,2017-01-07 14:11:14,mobile,international,female
2264790,direct,,2017-11-24 06:11:05,mobile,US,male
2524389,paid,other,2017-11-29 11:01:30,desktop,US,male
1839058,paid,social,2017-03-13 05:32:50,mobile,US,female
1523651,paid,search,2016-09-25 16:49:17,desktop,US,female
1671956,organic search,,2017-01-02 21:09:10,desktop,US,female
2574758,other,,2017-12-09 08:22:36,desktop,international,female
511277,email,,2017-11-28 06:37:01,mobile,US,female
1920668,organic search,,2017-04-22 20:18:47,mobile,US,female
1732622,paid,display,2017-01-30 08:57:07,desktop,US,
2563664,other,,2017-12-06 13:46:39,desktop,US,female
2442489,paid,social,2017-11-10 18:28:31,mobile,international,
1790934,organic search,,2017-02-25 05:36:02,desktop,international,female
2512951,direct,,2017-08-20 02:06:26,desktop,international,female
1887874,paid,affiliate,2017-04-10 01:29:59,desktop,international,female
2622632,direct,,2017-12-20 00:12:21,mobile,US,female
1983158,paid,other,2017-05-22 06:04:46,desktop,international,female
2295744,paid,display,2017-09-26 09:07:52,desktop,US,female
1948586,paid,affiliate,2017-05-05 19:50:50,mobile,international,female
1060754,organic search,,2016-09-15 18:04:48,desktop,US,female
1162871,paid,other,2016-11-15 17:04:39,desktop,international,male
2178376,organic search,,2017-08-03 18:21:07,desktop,international,male
664558,direct,,2017-11-12 22:20:48,desktop,US,female
1930316,direct,,2017-05-11 22:02:21,mobile,US,female
2573334,paid,affiliate,2017-12-08 19:40:05,desktop,US,female
2517319,direct,,2017-11-27 18:45:05,desktop,US,male
1370287,paid,affiliate,2016-04-03 17:06:21,mobile,international,female
1956739,organic search,,2017-05-09 20:16:49,desktop,US,male
2418464,paid,search,2017-11-04 09:15:28,mobile,US,female
1687284,direct,,2016-10-24 22:03:18,desktop,international,female
2343010,paid,social,2017-10-08 20:25:28,desktop,US,
824080,organic search,,2017-10-01 19:47:47,mobile,US,female
2607220,paid,social,2017-07-07 19:13:40,mobile,US,female
2149914,paid,social,2017-08-10 04:26:32,mobile,international,
2314755,other,,2017-09-30 08:00:07,mobile,US,female
1337765,other,,2016-02-24 14:06:34,desktop,international,female
1992438,paid,affiliate,2017-05-27 04:28:21,desktop,international,female
2155232,paid,social,2017-08-12 07:01:58,mobile,US,female
1835619,other,,2017-03-10 05:24:20,desktop,international,female
2315072,paid,search,2017-09-30 09:50:23,desktop,US,female
2281693,organic search,,2017-09-22 14:30:21,desktop,US,female
2558304,paid,search,2017-12-05 12:39:28,desktop,US,female
2445508,paid,social,2017-11-11 17:46:38,mobile,US,female
2241740,paid,other,2017-09-09 16:13:06,desktop,US,male
1665399,direct,,2016-12-29 11:26:16,desktop,US,male
1986037,paid,social,2017-08-16 18:38:05,desktop,international,
2221837,paid,search,2017-09-03 15:03:29,desktop,US,female
659132,direct,,2017-12-06 12:14:08,desktop,US,female
1777678,direct,,2017-02-18 21:39:28,mobile,US,male
2110360,paid,social,2017-07-25 11:48:52,mobile,US,female
1601172,direct,,2016-11-26 08:20:35,mobile,US,female
2516679,paid,other,2017-11-27 17:08:56,desktop,US,female
1644183,organic search,,2016-12-18 05:02:06,desktop,US,male
1371676,other,,2016-04-05 11:33:31,mobile,US,male
2502391,paid,search,2017-11-24 19:58:20,desktop,US,male
1913135,paid,other,2017-04-19 18:16:36,mobile,US,male
1717012,paid,display,2017-01-19 07:21:46,desktop,US,female
2081978,organic search,,2017-07-13 14:09:10,mobile,US,
1471745,organic search,,2016-08-03 08:32:55,desktop,US,female
2398679,paid,display,2017-09-26 13:42:01,desktop,US,female
728652,paid,social,2016-03-07 19:14:11,desktop,US,
2327516,organic search,,2017-10-04 01:26:23,desktop,international,female
2059374,direct,,2017-12-12 08:08:56,mobile,US,female
2124044,paid,search,2017-07-30 22:37:14,mobile,international,
1873701,organic search,,2017-04-04 23:16:49,desktop,international,male
2557204,organic search,,2017-12-05 09:41:28,mobile,US,female
1722475,paid,search,2017-01-25 10:45:14,mobile,US,female
936963,paid,search,2017-06-03 00:57:20,mobile,international,female
2265365,paid,affiliate,2017-09-16 13:30:19,desktop,international,
960027,paid,search,2017-12-28 21:59:41,desktop,US,female
2038901,paid,search,2017-09-11 10:36:35,desktop,international,female
1856578,organic search,,2017-03-27 10:46:44,desktop,US,female
2461988,direct,,2017-12-05 07:29:24,mobile,US,female
1429870,paid,affiliate,2016-06-11 01:17:26,desktop,international,female
1496125,paid,affiliate,2016-06-05 20:56:07,mobile,US,female
1379897,paid,affiliate,2016-04-15 18:48:54,desktop,US,female
1937411,paid,display,2017-05-01 05:12:21,desktop,US,female
1554576,paid,other,2016-10-26 08:06:47,mobile,US,female
2028368,direct,,2017-06-17 07:11:22,desktop,US,male
2123414,other,,2017-07-30 18:27:21,desktop,international,female
899666,direct,,2017-11-26 07:03:24,desktop,US,female
2017594,organic search,,2017-06-10 13:38:11,mobile,US,male
719552,organic search,,2017-11-25 09:14:47,desktop,US,female
1281949,email,,2017-12-02 05:56:52,desktop,US,female
387791,direct,,2017-12-25 12:53:24,desktop,US,female
1331997,organic search,,2016-02-18 10:46:17,desktop,US,
2280302,email,,2017-11-30 06:57:02,mobile,US,female
1408920,direct,,2016-05-23 19:29:57,desktop,international,male
1382270,direct,,2016-04-19 06:41:20,desktop,US,male
2411848,paid,social,2017-11-01 20:22:08,desktop,international,
1733035,paid,display,2017-01-30 11:30:11,desktop,US,female
2647975,paid,affiliate,2017-12-26 17:52:19,mobile,US,
1549416,paid,search,2016-07-19 10:35:41,mobile,US,female
1467417,paid,other,2016-08-16 01:16:01,desktop,international,female
2335693,organic search,,2017-10-06 16:03:19,desktop,US,
2604053,direct,,2017-12-15 19:32:35,desktop,US,male
2393877,paid,affiliate,2017-10-05 02:34:38,desktop,international,female
2552952,paid,search,2017-12-05 05:41:17,mobile,US,female
2613271,paid,social,2017-12-17 17:15:56,mobile,US,
1521394,paid,other,2016-10-08 23:04:17,desktop,international,female
1372276,paid,affiliate,2016-03-29 16:00:18,mobile,US,female
1708532,paid,affiliate,2017-01-19 13:05:14,desktop,US,female
1729584,organic search,,2017-01-28 20:38:26,mobile,international,female
2367770,direct,,2017-10-16 16:49:45,desktop,US,female
1510467,paid,affiliate,2016-09-03 04:23:25,mobile,US,female
2607962,paid,affiliate,2017-12-16 16:55:25,mobile,US,female
1966216,email,,2017-05-13 20:29:59,mobile,international,female
2640124,paid,display,2017-12-25 21:01:52,mobile,US,female
1929803,email,,2017-04-27 05:45:34,mobile,international,
1975992,organic search,,2017-05-18 12:29:09,desktop,US,female
1830842,organic search,,2017-03-15 00:06:50,mobile,US,female
2605762,paid,social,2017-12-16 08:19:51,mobile,US,female
283851,organic search,,2016-03-03 12:25:29,desktop,US,male
2036138,other,,2017-05-23 14:20:44,desktop,US,male
1346264,other,,2016-03-06 20:00:10,desktop,US,
2048322,organic search,,2017-06-26 21:34:38,mobile,US,female
2508474,direct,,2017-11-24 06:31:56,desktop,US,female
1930419,email,,2017-09-12 12:07:51,desktop,US,female
2609827,paid,search,2017-12-17 03:47:12,mobile,US,female
1503387,paid,social,2017-10-22 11:02:59,mobile,US,male
2572046,organic search,,2017-12-08 13:11:12,desktop,US,female
1650172,direct,,2016-12-21 07:41:10,desktop,international,male
1287599,paid,search,2016-09-17 23:05:14,desktop,US,female
2588929,direct,,2017-12-11 12:49:21,desktop,US,male
1446714,other,,2016-07-28 11:35:56,mobile,international,male
2463227,direct,,2017-11-15 10:11:11,desktop,US,female
2023188,paid,affiliate,2017-06-13 23:21:25,mobile,international,male
2646449,other,,2017-12-26 14:41:11,desktop,US,female
1108945,organic search,,2016-02-18 11:54:07,desktop,US,male
1916021,paid,affiliate,2016-07-12 18:48:56,mobile,US,female
1321041,organic search,,2016-02-01 18:24:46,mobile,US,female
2387957,paid,search,2017-10-24 01:17:15,mobile,US,
2529743,organic search,,2017-11-30 18:22:42,desktop,US,female
2277373,paid,search,2017-09-20 20:19:26,mobile,international,female
1308774,paid,affiliate,2016-01-12 11:26:02,desktop,US,female
1635661,other,,2016-12-13 20:37:15,mobile,US,
2323293,direct,,2017-12-03 18:26:26,mobile,US,female
1635766,organic search,,2016-12-13 21:26:14,mobile,US,female
2292800,paid,other,2017-09-25 21:15:23,mobile,international,female
1391891,other,,2016-05-01 07:05:57,desktop,US,
1746961,paid,display,2017-02-05 09:24:32,desktop,US,female
2225739,paid,search,2017-10-07 14:20:52,mobile,US,
2330743,other,,2017-09-14 12:17:24,desktop,US,female
1566020,organic search,,2016-11-01 15:11:40,desktop,international,female
1741546,organic search,,2017-02-02 19:35:25,desktop,US,male
1340367,direct,,2016-11-01 15:51:32,mobile,US,male
2174322,other,,2017-08-18 08:26:05,desktop,US,male
2213377,paid,affiliate,2017-08-31 06:30:15,mobile,US,female
1412836,organic search,,2016-05-26 08:03:27,desktop,US,female
1917588,paid,social,2017-04-21 13:45:47,mobile,US,female
2622473,organic search,,2017-12-19 22:28:08,mobile,US,
1960694,paid,affiliate,2017-05-11 12:25:40,mobile,US,
2148031,other,,2017-08-09 11:02:58,desktop,US,
2146238,paid,affiliate,2017-08-08 20:49:45,desktop,international,female
1785802,email,,2017-11-24 17:07:23,desktop,international,female
2098990,other,,2017-07-20 19:12:33,desktop,US,male
1556717,direct,,2016-10-27 13:18:29,mobile,US,female
2206646,direct,,2017-08-28 18:46:15,mobile,US,male
2248518,paid,display,2017-09-11 05:51:31,desktop,US,female
552676,email,,2017-08-31 09:43:51,mobile,US,male
1082283,paid,affiliate,2017-07-24 21:33:03,desktop,US,female
1902955,paid,affiliate,2017-04-15 11:19:31,desktop,US,female
1708900,email,,2017-12-08 01:13:31,desktop,US,female
1970257,paid,social,2017-05-02 09:45:07,mobile,international,
1472292,organic search,,2016-08-28 18:48:31,mobile,international,female
2061534,paid,social,2017-07-03 12:18:52,desktop,US,female
1911092,paid,display,2017-04-18 18:16:32,desktop,US,
2053673,email,,2017-12-29 13:28:10,mobile,US,male
2496416,paid,search,2017-11-22 18:19:24,mobile,US,female
2280401,paid,affiliate,2017-09-06 20:37:45,desktop,US,female
838320,paid,search,2017-12-24 04:14:54,mobile,US,female
2502823,paid,search,2017-11-24 22:13:22,mobile,US,female
1838551,paid,other,2017-03-18 19:21:51,mobile,US,male
1959669,other,,2017-05-11 06:31:06,mobile,US,female
1007519,email,,2017-02-21 12:49:36,mobile,US,female
1622754,other,,2016-12-08 05:44:00,desktop,international,male
1593063,paid,affiliate,2016-11-21 14:06:37,desktop,international,female
1525472,paid,search,2016-10-11 19:06:19,desktop,US,female
1620640,paid,social,2016-12-07 00:47:08,desktop,international,female
1621560,direct,,2016-12-07 12:27:21,mobile,US,
2589680,direct,,2017-11-22 11:37:05,mobile,US,female
1896579,direct,,2017-04-13 18:14:09,desktop,US,
2459966,paid,affiliate,2017-11-15 09:47:20,desktop,US,female
1247543,organic search,,2017-04-25 18:12:44,desktop,US,female
1978526,paid,other,2017-05-19 12:56:49,desktop,US,female
1681820,organic search,,2017-01-09 06:32:13,mobile,international,female
171225,direct,,2017-04-24 07:47:19,desktop,US,female
2411617,direct,,2017-09-05 18:15:07,desktop,US,female
2528925,paid,affiliate,2017-11-30 14:21:22,mobile,US,
2188011,organic search,,2017-08-22 22:21:56,desktop,US,male
2191958,direct,,2017-12-25 12:09:05,mobile,US,female
2608582,organic search,,2017-12-16 19:17:24,mobile,US,female
2372134,paid,social,2017-08-28 15:41:54,mobile,US,female
1739478,paid,other,2017-10-05 17:29:39,desktop,US,female
2152102,paid,other,2017-08-10 21:51:34,mobile,US,female
2220910,email,,2017-09-07 11:15:23,mobile,US,female
2141116,organic search,,2017-08-06 18:26:19,desktop,US,male
1628685,paid,search,2016-12-11 03:19:50,mobile,US,female
2471184,paid,affiliate,2017-11-17 17:05:26,desktop,US,female
1308104,organic search,,2016-01-04 17:55:03,desktop,international,female
2426046,paid,social,2017-11-06 11:24:38,desktop,US,female
2224278,paid,social,2017-09-04 15:41:07,mobile,US,female
1442482,other,,2016-07-20 03:36:04,desktop,US,female
1378677,direct,,2017-11-29 08:05:33,desktop,US,female
2165950,paid,social,2017-08-20 19:06:21,mobile,US,female
1295872,email,,2017-08-23 12:46:54,desktop,US,female
1763668,organic search,,2017-02-01 07:29:09,desktop,US,female
126295,email,,2016-01-03 13:00:47,mobile,international,male
1955742,direct,,2017-06-04 17:33:13,desktop,US,female
1454685,organic search,,2016-08-10 14:06:45,desktop,US,male
1369884,other,,2016-04-03 09:45:00,mobile,international,female
2445634,organic search,,2017-11-11 18:33:33,mobile,US,female
2477894,email,,2017-12-04 15:28:48,mobile,international,male
2575407,other,,2017-12-09 11:03:58,mobile,US,female
1546885,direct,,2016-10-22 04:16:54,desktop,international,male
2379808,direct,,2017-11-23 20:45:30,mobile,US,female
1353668,other,,2016-03-15 07:50:52,desktop,international,male
2620442,paid,social,2017-12-07 17:02:31,desktop,international,female
2388319,paid,social,2017-10-01 19:58:21,mobile,international,
1841662,direct,,2017-03-20 11:50:15,mobile,US,female
1970992,other,,2016-09-18 06:31:30,desktop,US,
1890341,organic search,,2017-04-11 16:08:42,desktop,US,
2579345,other,,2017-12-10 09:50:48,mobile,US,
2629575,paid,social,2017-12-22 14:03:21,desktop,US,female
1497174,other,,2016-09-20 19:32:00,desktop,international,female
2096423,paid,display,2017-07-19 17:50:39,desktop,US,female
2481842,organic search,,2017-11-19 20:07:52,mobile,US,female
2242524,email,,2017-11-28 16:59:21,mobile,international,female
2308742,direct,,2017-09-28 06:19:41,desktop,US,female
1248351,paid,social,2017-08-16 06:15:26,mobile,US,female
2335400,direct,,2017-10-06 13:54:30,mobile,US,female
1328427,paid,search,2016-02-13 15:31:55,desktop,US,female
2441325,paid,social,2017-11-10 11:26:50,mobile,US,female
